FECHA;PROVINCIA;PROFESIONALES_TOTAL;PORCENTAJE_TEST_REALIZADOS;PORCENTAJE_TEST_POSITIVO;codigo_ine
2024-11-21;Salamanca;7348;90.0653239;53.71529668;37274
2024-11-21;Soria;2208;93.84057971;54.30253623;42173
2024-11-21;Zamora;3366;95.69221628;49.97029115;49275
2024-11-21;Castilla y León;49709;94.51206019;56.15884447;99999
2024-11-07;Ávila;3020;91.7218543;54.50331126;5019
2024-11-07;Burgos;7034;96.64486779;53.76741541;9059
2024-11-07;Palencia;3261;95.76816927;61.30021466;34120
2024-11-07;Salamanca;7348;90.0653239;53.71529668;37274
2024-11-07;Soria;2208;93.84057971;54.30253623;42173
2024-11-07;Valladolid;11517;94.95528349;58.46140488;47186
2024-11-07;Segovia;2801;94.53766512;54.90896109;40004
2024-11-07;Zamora;3366;95.72192513;49.97029115;49275
2024-11-07;León;9154;96.07821717;58.88136334;24089
2024-11-07;Castilla y León;49709;94.5140719;56.15884447;99999
2024-10-24;Burgos;7034;96.64486779;53.76741541;9059
2024-10-24;Soria;2208;93.84057971;54.30253623;42173
2024-10-24;Zamora;3366;95.72192513;49.91087344;49275
2024-10-24;Ávila;3020;91.75496689;54.50331126;5019
2024-10-24;León;9154;96.07821717;58.87043915;24089
2024-10-24;Segovia;2801;94.53766512;54.90896109;40004
2024-10-24;Palencia;3261;95.76816927;61.30021466;34120
2024-10-24;Salamanca;7348;90.07893304;53.71529668;37274
2024-10-24;Valladolid;11517;94.95528349;58.46140488;47186
2024-10-24;Castilla y León;49709;94.51809531;56.15280935;99999
2024-10-03;Ávila;3020;91.75496689;54.50331126;5019
2024-10-03;Burgos;7034;96.64486779;53.75319875;9059
2024-10-03;Palencia;3261;95.76816927;61.26954922;34120
2024-10-03;Salamanca;7348;90.0653239;53.70168753;37274
2024-10-03;Segovia;2801;94.53766512;54.90896109;40004
2024-10-03;Zamora;3366;95.72192513;49.94058229;49275
2024-10-03;León;9154;96.07821717;58.87043915;24089
2024-10-03;Soria;2208;93.84057971;54.30253623;42173
2024-10-03;Valladolid;11517;94.94660068;58.42667361;47186
2024-10-03;Castilla y León;49709;94.5140719;56.1407391;99999
2024-09-19;Burgos;7034;96.64486779;53.75319875;9059
2024-09-19;Palencia;3261;95.76816927;61.26954922;34120
2024-09-19;Salamanca;7348;90.0653239;53.70168753;37274
2024-09-19;Castilla y León;49709;94.5140719;56.13671569;99999
2024-09-19;Ávila;3020;91.75496689;54.50331126;5019
2024-09-19;León;9154;96.07821717;58.85951497;24089
2024-09-19;Valladolid;11517;94.94660068;58.4179908;47186
2024-09-19;Zamora;3366;95.72192513;49.94058229;49275
2024-09-19;Segovia;2801;94.53766512;54.90896109;40004
2024-09-19;Soria;2208;93.84057971;54.30253623;42173
2024-09-05;Ávila;3020;91.75496689;54.47019868;5019
2024-09-05;León;9154;96.07821717;58.84859078;24089
2024-09-05;Palencia;3261;95.76816927;61.23888378;34120
